407. (429) THE AWFUL TRUTH (Leo McCarey, 1937)
408. (260) THE THIN BLUE LINE (Errol Morris, 1988)
409. (359) SUSPIRIA (Dario Argento, 1977)
410. (689) THE HEADLESS WOMAN (Lucrecia Martel, 2008)
411. (458) OPENING NIGHT (John Cassavetes, 1977)
412. (303) SNOW WHITE AND THE SEVEN DWARFS (David Hand, 1937)
413. (348) LE PLAISIR (Max Ophüls, 1952)
414. (383) WOMAN IN THE DUNES (Hiroshi Teshigahara, 1964)
415. (408) SAFE (Todd Haynes, 1995)
416. (362) DOGVILLE (Lars von Trier, 2003)
417. (681) EUROPA '51 (Roberto Rossellini, 1952)
418. (349) DAYS OF BEING WILD (Wong Kar-wai, 1990)
419. (462) FANTASIA (Various Directors, 1940)
420. (497) CHELSEA GIRLS (Andy Warhol, 1966)
421. (418) FESTEN (Thomas Vinterberg, 1998)
422. (464) FLOWERS OF SHANGHAI (Hou Hsiao-hsien, 1998)
423. (529) WINTER LIGHT (Ingmar Bergman, 1962)
424. (475) SPLENDOR IN THE GRASS (Elia Kazan, 1961)
425. (415) THE CRIME OF MONSIEUR LANGE (Jean Renoir, 1936)
426. (430) FRENCH CANCAN (Jean Renoir, 1955)
427. (593) AN ANGEL AT MY TABLE (Jane Campion, 1990)
428. (489) THE WIND (Victor Sjöström, 1928)
429. (449) THE SHAWSHANK REDEMPTION (Frank Darabont, 1994)
430. (491) LIMELIGHT (Charles Chaplin, 1952)
431. (283) HOLY MOTORS (Leos Carax, 2012)
432. (338) BRIDE OF FRANKENSTEIN (James Whale, 1935)
433. (385) UNDER THE SKIN (Jonathan Glazer, 2013)
434. (448) SHOOT THE PIANO PLAYER (François Truffaut, 1960)
435. (392) A TRIP TO THE MOON (Georges Méliès, 1902)
436. (399) IF…. (Lindsay Anderson, 1968)
437. (355) LOST IN TRANSLATION (Sofia Coppola, 2003)
438. (523) LA TERRA TREMA (Luchino Visconti, 1948)
439. (370) LISTEN TO BRITAIN (Humphrey Jennings & Stewart McAllister, 1942)
440. (608) POSSESSION (Andrzej Zulawski, 1981)
